Date1,Date2,Time,UserPhone,UserName,MessageBody,MediaType,MediaLink,QuotedMessage,QuotedMessageDate,QuotedMessageTime
7/2/2018,7/2/2018,16:54:28,removed,Clark Kent, lorem ipsum dolor sit amet consectetur adipiscing,,,,,
,7/2/2018,17:08:04,removed,Bruce Wayne, elit aliquam ullamcorper nulla nec porta pharetra nunc elit,,,,,
,7/2/2018,17:08:57,removed,Peter Parker, sollicitudin nisl gravida pulvinar purus sapien quis enim lorem,,,,,
7/6/2018,7/6/2018,19:24:30,removed,Thor Odinson, ipsum dolor sit amet consectetur adipiscing,image,x.jpeg,,,
,7/6/2018,19:24:45,removed,Thor Odinson, elit,,,,,
,7/6/2018,19:24:48,removed,Clark Kent, aliquam ullamcorper,,,,,
,7/6/2018,19:25:04,removed,Clark Kent, nulla nec porta pharetra nunc,,,,,
,7/6/2018,19:25:32,removed,Thor Odinson, elit sollicitudin nisl gravida pulvinar purus sapien quis enim lorem ipsum dolor sit amet,,,,,
7/13/2018,7/13/2018,16:09:30,removed,Thor Odinson, consectetur adipiscing elit aliquam ullamcorper nulla nec porta pharetra nunc elit,,,,,
,7/13/2018,16:50:29,removed,Clark Kent, sollicitudin nisl gravida,,,,,
,7/13/2018,16:50:41,removed,Clark Kent, pulvinar purus sapien quis enim lorem ipsum dolor,,,,,
,7/13/2018,16:50:47,removed,Clark Kent, sit amet consectetur adipiscing elit,,,,,
,7/13/2018,16:50:49,removed,Clark Kent, aliquam ullamcorper,,,,,
,7/13/2018,16:50:56,removed,Clark Kent, nulla,,,,,
,7/13/2018,16:51:00,removed,Clark Kent, nec porta pharetra nunc,,,,,
,7/13/2018,17:47:55,removed,Lois Lane, elit sollicitudin nisl gravida pulvinar purus sapien quis enim lorem ipsum dolor sit amet,,,,,
,7/13/2018,17:48:05,removed,Lois Lane, consectetur adipiscing elit aliquam ullamcorper nulla,,,,,
,7/13/2018,17:49:44,removed,Lois Lane, nec porta pharetra,,,,,
,7/13/2018,17:51:32,removed,Thor Odinson, nunc elit sollicitudin nisl gravida,,,,,
,7/13/2018,17:53:28,removed,Lois Lane, pulvinar purus sapien quis enim lorem ipsum dolor,,,,,
,7/13/2018,17:54:14,removed,Thor Odinson, sit amet consectetur,,,,,
,7/13/2018,17:54:18,removed,Thor Odinson, adipiscing,,,,,
,7/13/2018,17:55:49,removed,Lois Lane, elit aliquam ullamcorper,,,,,
,7/13/2018,17:58:50,removed,Clark Kent, nulla nec porta pharetra nunc elit,,,,,
,7/13/2018,18:06:24,removed,Lois Lane, sollicitudin nisl gravida pulvinar purus sapien quis enim lorem,,,,,
,7/13/2018,18:20:23,removed,Peter Parker, ipsum dolor sit amet consectetur adipiscing elit aliquam,,,,,
,7/13/2018,18:20:23,removed,Peter Parker, ullamcorper nulla nec porta pharetra,,,,,
,7/13/2018,18:28:02,removed,Jonathan Osterman, nunc elit sollicitudin,,,,,
,7/13/2018,18:28:06,removed,Jonathan Osterman, nisl gravida pulvinar purus,,,,,
,7/13/2018,19:11:45,removed,Raven Darkholme, sapien quis enim lorem ipsum dolor sit,image,x.jpeg,,,
7/14/2018,7/14/2018,11:48:11,removed,Clark Kent, amet consectetur adipiscing elit aliquam,image,x.jpeg,,,
,7/14/2018,13:57:53,removed,Thor Odinson, ullamcorper nulla nec porta pharetra nunc elit,,,,,
7/15/2018,7/15/2018,13:15:22,removed,Bruce Wayne, sollicitudin nisl,,,,,
7/19/2018,7/19/2018,12:53:18,removed,Bruce Wayne, gravida pulvinar purus sapien quis enim lorem ipsum dolor sit,,,,,
,7/19/2018,12:53:36,removed,Bruce Wayne, amet consectetur adipiscing elit aliquam ullamcorper nulla nec,,,,,
,7/19/2018,12:54:16,removed,Bruce Wayne, porta pharetra nunc elit sollicitudin nisl gravida pulvinar,,,,,
,7/19/2018,12:54:25,removed,Bruce Wayne, purus sapien quis enim lorem,,,,,
